	target	probes_filename	alpha	threshold	noise	accuracy	precision	recall	f1
37	192.33.4.12	North-Central_100	0.0	-1	0	0.16666666666666666	0.3333333333333333	0.25	0.28571428571428575
31	192.33.4.12	North-Central_100	0.1	-1	0	0.4	0.6666666666666666	0.5	0.5714285714285715
2	192.33.4.12	North-Central_100	0.2	-1	0	0.4	0.6666666666666666	0.5	0.5714285714285715
3	192.33.4.12	North-Central_100	0.3	-1	0	0.4	0.6666666666666666	0.5	0.5714285714285715
42	192.33.4.12	North-Central_100	0.4	-1	0	0.4	0.6666666666666666	0.5	0.5714285714285715
11	192.33.4.12	North-Central_100	0.5	-1	0	0.4	0.6666666666666666	0.5	0.5714285714285715
10	192.33.4.12	North-Central_100	0.6	-1	0	0.4	0.6666666666666666	0.5	0.5714285714285715
40	192.33.4.12	North-Central_100	0.7	-1	0	0.4	0.6666666666666666	0.5	0.5714285714285715
8	192.33.4.12	North-Central_100	0.8	-1	0	0.4	0.6666666666666666	0.5	0.5714285714285715
12	192.33.4.12	North-Central_100	0.9	-1	0	0.4	0.6666666666666666	0.5	0.5714285714285715
18	192.33.4.12	North-Central_100	1.0	-1	0	0.4	0.6666666666666666	0.5	0.5714285714285715
6	192.33.4.12	North-Central_1000	0.0	-1	0	0.6	0.75	0.75	0.75
15	192.33.4.12	North-Central_1000	0.1	-1	0	0.6	0.75	0.75	0.75
30	192.33.4.12	North-Central_1000	0.2	-1	0	0.6	0.75	0.75	0.75
26	192.33.4.12	North-Central_1000	0.3	-1	0	0.6	0.75	0.75	0.75
23	192.33.4.12	North-Central_1000	0.4	-1	0	0.6	0.75	0.75	0.75
20	192.33.4.12	North-Central_1000	0.5	-1	0	0.6	0.75	0.75	0.75
41	192.33.4.12	North-Central_1000	0.6	-1	0	0.6	0.75	0.75	0.75
29	192.33.4.12	North-Central_1000	0.7	-1	0	0.6	0.75	0.75	0.75
21	192.33.4.12	North-Central_1000	0.8	-1	0	0.6	0.75	0.75	0.75
32	192.33.4.12	North-Central_1000	0.9	-1	0	0.6	0.75	0.75	0.75
35	192.33.4.12	North-Central_1000	1.0	-1	0	0.6	0.75	0.75	0.75
0	192.33.4.12	North-Central_300	0.0	-1	0	0.3333333333333333	0.5	0.5	0.5
25	192.33.4.12	North-Central_300	0.1	-1	0	0.4	0.6666666666666666	0.5	0.5714285714285715
24	192.33.4.12	North-Central_300	0.2	-1	0	0.4	0.6666666666666666	0.5	0.5714285714285715
4	192.33.4.12	North-Central_300	0.3	-1	0	0.4	0.6666666666666666	0.5	0.5714285714285715
7	192.33.4.12	North-Central_300	0.4	-1	0	0.6	0.75	0.75	0.75
22	192.33.4.12	North-Central_300	0.5	-1	0	0.6	0.75	0.75	0.75
33	192.33.4.12	North-Central_300	0.6	-1	0	0.6	0.75	0.75	0.75
19	192.33.4.12	North-Central_300	0.7	-1	0	0.6	0.75	0.75	0.75
17	192.33.4.12	North-Central_300	0.8	-1	0	0.6	0.75	0.75	0.75
39	192.33.4.12	North-Central_300	0.9	-1	0	0.6	0.75	0.75	0.75
38	192.33.4.12	North-Central_300	1.0	-1	0	0.6	0.75	0.75	0.75
36	192.33.4.12	North-Central_500	0.0	-1	0	0.6	0.75	0.75	0.75
13	192.33.4.12	North-Central_500	0.1	-1	0	0.6	0.75	0.75	0.75
1	192.33.4.12	North-Central_500	0.2	-1	0	0.6	0.75	0.75	0.75
43	192.33.4.12	North-Central_500	0.3	-1	0	0.6	0.75	0.75	0.75
5	192.33.4.12	North-Central_500	0.4	-1	0	0.6	0.75	0.75	0.75
28	192.33.4.12	North-Central_500	0.5	-1	0	1.0	1.0	1.0	1.0
34	192.33.4.12	North-Central_500	0.6	-1	0	1.0	1.0	1.0	1.0
16	192.33.4.12	North-Central_500	0.7	-1	0	1.0	1.0	1.0	1.0
14	192.33.4.12	North-Central_500	0.8	-1	0	1.0	1.0	1.0	1.0
9	192.33.4.12	North-Central_500	0.9	-1	0	1.0	1.0	1.0	1.0
27	192.33.4.12	North-Central_500	1.0	-1	0	1.0	1.0	1.0	1.0
